title,changeover_time,cycle_time,available_time,FPY,,
product conference,2,13,34,11.6,,
Product Conference,25,2.9,74,11.6,,
typing,30,2.9,29,1,,
Product Descharging,54,18,53,11.3,,
product conference,2,11,35,11.3,,
Product Conference,25,2.8,73,11.6,,
typing,30,2.9,30,1,,
Product Descharging,52,18,54,11.4,,
product conference,3,11,37,11.5,,
Product Conference,26,2.9,73,11.6,,
typing,31,2.7,31,0,,
Product Descharging,54,18,54,11.2,,
Product Conference,25,3,74,11.3,,
typing,29,2.8,29,1,,
Product Descharging,53,17,54,11.4,,
product conference,4,11,37,11.2,,
Product Conference,23,3,74,11.3,,
typing,31,2.9,30,0,,
Product Descharging,52,19,55,11.5,,
product conference,3,12,35,11.6,,
Product Conference,26,2.9,75,11.3,,
typing,29,2.9,29,0,,
Product Descharging,52,17,53,11.6,,
product conference,3,11,35,11.5,,
Product Conference,23,2.7,75,11.6,,
typing,31,2.8,29,0,,
Product Descharging,53,17,54,11.5,,
Product Conference,24,2.9,73,11.6,,
typing,31,2.9,31,0,,
Product Descharging,55,19,55,11.3,,
product conference,3,13,36,11.6,,
Product Conference,24,2.8,73,11.6,,
typing,30,2.9,30,0,,
Product Descharging,55,17,54,11.4,,
product conference,3,12,36,11.4,,
Product Conference,23,2.7,74,11.4,,
typing,29,2.7,27,0,,
Product Descharging,53,17,55,11.2,,
product conference,3,13,37,11.3,,
Product Conference,25,3,73,11.2,,
typing,31,3,28,0,,
Product Descharging,53,19,54,11.6,,
Product Conference,23,3,74,11.6,,
typing,28,2.9,30,0,,
Product Descharging,55,18,53,11.2,,
product conference,4,12,36,11.3,,
Product Conference,26,3,75,11.6,,
typing,30,2.9,27,0,,
Product Descharging,54,19,54,11.3,,
product conference,4,13,36,11.6,,
Product Conference,24,2.7,73,11.3,,
typing,30,2.9,30,1,,
Product Descharging,52,17,54,11.5,,
product conference,2,13,35,11.3,,
Product Conference,23,2.9,75,11.6,,
typing,30,3,28,1,,
Product Descharging,55,17,54,11.4,,
Product Conference,24,2.7,74,11.6,,
typing,30,2.9,28,0,,
Product Descharging,54,19,55,11.3,,
product conference,3,11,35,11.5,,
Product Conference,23,2.7,74,11.3,,
typing,29,2.8,29,1,,
Product Descharging,53,19,55,11.5,,
product conference,2,12,36,11.4,,
Product Conference,24,2.9,73,11.2,,
typing,31,2.7,29,0,,
Product Descharging,52,19,55,11.3,,
product conference,3,12,35,11.6,,
Product Conference,24,2.8,74,11.6,,
typing,31,2.8,30,0,,
Product Descharging,54,19,53,11.5,,
Product Conference,25,2.9,74,11.4,,
typing,28,3,30,1,,
Product Descharging,52,18,53,11.3,,
product conference,4,11,36,11.5,,
Product Conference,23,2.8,75,11.3,,
typing,28,2.8,28,1,,
Product Descharging,55,17,54,11.6,,
product conference,3,11,37,11.3,,
Product Conference,24,2.9,75,11.6,,
typing,30,2.9,29,1,,
Product Descharging,54,19,53,11.3,,
product conference,4,11,35,11.5,,
Product Conference,26,2.7,73,11.4,,
typing,31,2.7,29,1,,
Product Descharging,55,19,54,11.4,,
Product Conference,23,2.7,73,11.2,,
typing,29,2.7,31,1,,
Product Descharging,53,18,53,11.5,,
product conference,2,13,36,11.3,,
Product Conference,23,2.8,75,11.2,,
typing,28,2.8,31,0,,
Product Descharging,54,17,55,11.3,,
product conference,2,11,37,11.6,,
Product Conference,26,2.9,73,11.3,,
typing,31,2.8,27,1,,
Product Descharging,53,19,53,11.4,,
product conference,4,11,35,11.6,,
Product Conference,23,2.9,75,11.3,,
typing,31,2.8,30,0,,
Product Descharging,53,17,55,11.3,,
Product Conference,23,2.9,74,11.4,,
typing,30,3,27,1,,
Product Descharging,54,17,55,11.5,,
product conference,3,12,36,11.5,,
Product Conference,25,2.9,73,11.3,,
typing,28,2.7,29,0,,
Product Descharging,52,17,55,11.4,,
product conference,4,12,36,11.5,,
Product Conference,23,2.8,74,11.6,,
typing,29,2.9,28,1,,
Product Descharging,54,19,54,11.6,,
product conference,3,13,36,11.4,,
Product Conference,25,2.8,74,11.3,,
typing,29,2.8,28,0,,
Product Descharging,52,18,53,11.4,,
Product Conference,24,2.7,75,11.4,,
typing,29,3,30,1,,
Product Descharging,53,18,54,11.5,,
product conference,3,11,36,11.4,,
Product Conference,25,2.9,74,11.5,,
typing,30,2.8,29,1,,
Product Descharging,53,18,53,11.2,,
product conference,2,13,37,11.5,,
Product Conference,24,2.7,73,11.6,,
typing,29,2.8,28,1,,
Product Descharging,55,18,55,11.3,,
product conference,2,12,34,11.3,,
Product Conference,23,2.9,74,11.3,,
typing,28,2.9,29,1,,
Product Descharging,55,19,53,11.4,,
Product Conference,24,3,73,11.3,,
typing,29,2.8,30,1,,
Product Descharging,52,17,55,11.6,,
product conference,4,11,36,11.3,,
Product Conference,26,2.9,73,11.3,,
typing,31,2.8,28,0,,
Product Descharging,52,19,55,11.6,,
product conference,4,12,35,11.5,,
Product Conference,26,3,74,11.5,,
typing,30,2.9,29,1,,
Product Descharging,55,17,53,11.5,,
product conference,3,12,35,11.2,,
Product Conference,26,2.9,73,11.2,,
typing,30,2.9,30,0,,
Product Descharging,53,19,55,11.5,,
Product Conference,24,2.8,74,11.4,,
typing,29,2.8,31,1,,
Product Descharging,53,17,55,11.2,,
product conference,4,12,37,11.5,,
Product Conference,24,3,73,11.3,,
typing,28,2.7,28,0,,
Product Descharging,52,19,54,11.3,,
product conference,3,13,34,11.4,,
Product Conference,25,3,75,11.4,,
typing,29,3,31,1,,
Product Descharging,53,17,55,11.5,,
product conference,4,13,37,11.5,,
Product Conference,25,2.9,73,11.4,,
typing,30,3,28,0,,
Product Descharging,52,19,54,11.3,,
Product Conference,23,2.7,74,11.5,,
typing,28,2.8,31,1,,
Product Descharging,53,19,55,11.2,,
product conference,3,11,35,11.6,,
Product Conference,26,2.7,73,11.5,,
typing,28,3,30,0,,
Product Descharging,55,18,55,11.3,,
product conference,2,13,36,11.6,,
Product Conference,25,3,75,11.3,,
typing,30,2.8,27,1,,
Product Descharging,53,19,54,11.6,,
product conference,3,11,36,11.2,,
Product Conference,25,2.9,75,11.5,,
typing,28,2.9,31,1,,
Product Descharging,53,17,54,11.5,,
Product Conference,24,3,73,11.6,,
typing,31,2.8,31,0,,
Product Descharging,53,17,53,11.3,,
product conference,2,11,34,11.3,,
Product Conference,23,2.8,75,11.3,,
typing,28,3,29,1,,
Product Descharging,55,17,53,11.5,,
product conference,4,11,35,11.3,,
Product Conference,26,2.8,74,11.3,,
typing,28,2.7,28,0,,
Product Descharging,54,18,54,11.6,,
product conference,2,12,37,11.2,,
Product Conference,24,2.8,75,11.4,,
typing,30,2.9,27,0,,
Product Descharging,54,19,53,11.6,,
Product Conference,23,2.8,73,11.6,,
typing,28,2.8,28,0,,
Product Descharging,54,19,54,11.6,,
product conference,3,11,34,11.3,,
Product Conference,26,3,75,11.3,,
typing,30,2.8,27,0,,
Product Descharging,54,18,53,11.3,,
product conference,2,13,37,11.2,,
Product Conference,25,2.9,74,11.3,,
typing,28,3,30,0,,
Product Descharging,53,18,54,11.5,,
product conference,3,13,35,11.5,,
Product Conference,24,3,75,11.5,,
typing,31,2.9,31,1,,
Product Descharging,55,17,53,11.5,,
Product Conference,23,2.9,75,11.2,,
typing,29,2.8,29,0,,
Product Descharging,54,19,53,11.3,,
product conference,2,11,36,11.2,,
Product Conference,24,2.7,74,11.4,,
typing,28,2.8,28,0,,
Product Descharging,52,17,53,11.2,,
product conference,4,13,34,11.4,,
Product Conference,24,2.8,75,11.3,,
typing,28,3,30,1,,
Product Descharging,55,17,53,11.6,,
product conference,2,13,36,11.2,,
Product Conference,23,3,73,11.6,,
typing,29,2.9,30,1,,
Product Descharging,55,19,53,11.3,,
Product Conference,25,2.9,73,11.3,,
typing,31,2.7,31,0,,
Product Descharging,52,17,53,11.5,,
product conference,2,11,35,11.3,,
Product Conference,23,2.8,75,11.4,,
typing,31,3,28,1,,
Product Descharging,52,19,55,11.4,,
product conference,4,12,34,11.3,,
Product Conference,26,3,73,11.3,,
typing,30,2.9,29,1,,
Product Descharging,55,17,55,11.5,,
product conference,2,13,34,11.2,,
Product Conference,26,2.8,75,11.3,,
typing,31,3,28,1,,
Product Descharging,54,17,54,11.3,,
Product Conference,26,2.7,74,11.5,,
typing,31,2.9,30,1,,
Product Descharging,54,19,53,11.4,,
product conference,3,13,35,11.6,,
Product Conference,24,2.9,75,11.4,,
typing,31,2.7,27,0,,
Product Descharging,55,17,53,11.5,,
product conference,3,11,36,11.2,,
Product Conference,23,3,75,11.3,,
typing,28,2.8,31,1,,
Product Descharging,53,18,55,11.5,,
product conference,4,12,36,11.2,,
Product Conference,24,2.8,74,11.5,,
typing,31,3,27,1,,
Product Descharging,55,17,53,11.5,,
Product Conference,26,2.9,75,11.4,,
typing,28,2.8,31,1,,
Product Descharging,54,18,55,11.6,,
product conference,4,11,36,11.3,,
Product Conference,23,3,73,11.4,,
typing,31,3,29,0,,
Product Descharging,55,17,54,11.2,,
product conference,2,13,34,11.5,,
Product Conference,24,2.8,73,11.3,,
typing,28,2.9,29,1,,
Product Descharging,55,19,54,11.4,,
product conference,3,12,36,11.5,,
Product Conference,25,2.8,75,11.5,,
typing,30,2.7,31,1,,
Product Descharging,53,17,54,11.4,,
Product Conference,24,2.9,75,11.5,,
typing,30,2.8,28,0,,
Product Descharging,54,18,54,11.3,,
product conference,4,13,34,11.6,,
Product Conference,23,2.9,74,11.6,,
typing,31,2.9,28,0,,
Product Descharging,52,18,53,11.5,,
product conference,4,12,36,11.3,,
Product Conference,25,2.9,75,11.2,,
typing,31,2.8,29,1,,
Product Descharging,54,19,55,11.3,,
product conference,4,11,35,11.5,,
Product Conference,23,2.7,74,11.4,,
typing,30,2.9,28,0,,
Product Descharging,53,17,54,11.2,,
Product Conference,24,3,73,11.2,,
typing,30,2.9,29,0,,
Product Descharging,53,17,54,11.3,,
product conference,3,12,36,11.3,,
Product Conference,25,2.8,74,11.2,,
typing,30,2.7,29,0,,
Product Descharging,52,18,53,11.6,,
product conference,2,12,37,11.6,,
Product Conference,24,3,75,11.5,,
typing,28,2.8,31,1,,
Product Descharging,53,19,53,11.3,,
product conference,3,11,34,11.5,,
Product Conference,26,2.9,73,11.5,,
typing,29,2.8,30,0,,
Product Descharging,52,19,55,11.4,,
Product Conference,26,2.9,74,11.4,,
typing,30,2.9,27,0,,
Product Descharging,54,18,55,11.3,,
product conference,4,11,37,11.3,,
Product Conference,23,2.8,73,11.2,,
typing,28,2.9,30,1,,
Product Descharging,52,19,53,11.3,,
product conference,2,11,37,11.3,,
Product Conference,23,3,73,11.3,,
typing,29,2.8,29,1,,
Product Descharging,52,17,54,11.2,,
product conference,4,12,35,11.4,,
Product Conference,25,3,73,11.6,,
typing,29,2.9,28,0,,
Product Descharging,52,18,54,11.3,,
Product Conference,23,2.7,75,11.4,,
typing,28,3,28,1,,
Product Descharging,53,19,55,11.2,,
product conference,2,12,36,11.5,,
Product Conference,26,3,74,11.3,,
typing,31,2.9,27,1,,
Product Descharging,54,19,55,11.3,,
product conference,3,11,34,11.3,,
Product Conference,23,2.9,73,11.6,,
typing,30,3,30,1,,
Product Descharging,55,19,55,11.6,,
product conference,2,11,34,11.6,,
Product Conference,24,2.8,75,11.5,,
typing,31,2.8,29,0,,
Product Descharging,55,18,53,11.3,,
Product Conference,25,2.7,75,11.3,,
typing,31,2.7,30,0,,
Product Descharging,55,19,55,11.3,,
product conference,3,13,37,11.5,,
Product Conference,25,2.8,74,11.5,,
typing,29,3,29,0,,
Product Descharging,52,17,55,11.6,,
product conference,2,13,34,11.4,,
Product Conference,26,2.9,75,11.3,,
typing,28,2.9,27,1,,
Product Descharging,54,18,54,11.4,,
product conference,2,13,37,11.3,,
Product Conference,24,2.7,73,11.6,,
typing,29,2.9,27,1,,
Product Descharging,52,18,53,11.6,,
Product Conference,25,2.8,75,11.5,,
typing,28,2.8,31,0,,
Product Descharging,52,19,55,11.4,,
product conference,3,13,35,11.2,,
Product Conference,23,3,75,11.5,,
typing,28,2.8,29,1,,
Product Descharging,52,18,54,11.3,,
product conference,3,13,34,11.5,,
Product Conference,24,2.9,73,11.5,,
typing,29,3,29,1,,
Product Descharging,52,17,54,11.4,,
product conference,3,13,34,11.2,,
Product Conference,26,3,74,11.6,,
typing,30,2.8,28,1,,
Product Descharging,52,17,54,11.3,,
Product Conference,23,2.8,73,11.6,,
typing,28,3,29,1,,
Product Descharging,53,17,55,11.3,,
product conference,3,12,34,11.5,,
Product Conference,23,3,74,11.4,,
typing,28,2.9,30,0,,
Product Descharging,53,18,55,11.3,,
product conference,4,12,35,11.6,,
Product Conference,23,2.9,74,11.3,,
typing,28,2.9,27,1,,
Product Descharging,52,17,53,11.5,,
product conference,2,12,36,11.3,,
Product Conference,26,3,75,11.2,,
typing,31,2.7,28,0,,
Product Descharging,54,17,53,11.3,,
Product Conference,26,2.8,73,11.5,,
typing,28,2.9,30,0,,
Product Descharging,52,19,54,11.4,,
product conference,2,13,34,11.4,,
Product Conference,24,2.8,73,11.4,,
typing,29,2.8,30,0,,
Product Descharging,52,17,53,11.4,,
product conference,4,12,35,11.6,,
Product Conference,23,2.9,73,11.4,,
typing,30,3,31,1,,
Product Descharging,53,18,55,11.6,,
product conference,3,12,35,11.4,,
Product Conference,23,2.7,74,11.5,,
typing,30,2.9,29,0,,
Product Descharging,52,18,54,11.3,,
Product Conference,23,3,74,11.2,,
typing,29,2.9,29,1,,
Product Descharging,55,19,54,11.5,,
product conference,3,11,35,11.3,,
Product Conference,24,3,75,11.6,,
typing,30,2.8,30,1,,
Product Descharging,55,17,55,11.5,,
product conference,3,12,36,11.2,,
Product Conference,24,3,75,11.4,,
typing,29,2.8,27,0,,
Product Descharging,55,19,55,11.6,,
product conference,2,12,36,11.6,,
Product Conference,23,3,74,11.3,,
typing,31,3,31,1,,
Product Descharging,55,18,55,11.3,,
Product Conference,25,2.9,74,11.2,,
typing,31,3,27,0,,
Product Descharging,54,17,53,11.4,,
product conference,3,12,36,11.5,,
Product Conference,25,2.9,73,11.3,,
typing,29,2.7,31,0,,
Product Descharging,55,17,53,11.6,,
product conference,2,13,37,11.3,,
Product Conference,23,2.9,75,11.4,,
typing,30,3,31,0,,
Product Descharging,52,17,53,11.3,,
product conference,3,12,36,11.5,,
Product Conference,25,2.8,74,11.5,,
typing,28,2.9,27,1,,
Product Descharging,54,18,54,11.4,,
Product Conference,24,3,74,11.4,,
typing,30,2.9,30,1,,
Product Descharging,53,17,55,11.5,,
product conference,2,11,36,11.4,,
Product Conference,26,2.9,74,11.6,,
typing,28,3,27,0,,
Product Descharging,54,18,53,11.4,,
product conference,4,12,37,11.3,,
Product Conference,25,3,73,11.4,,
typing,28,2.7,31,0,,
Product Descharging,53,18,55,11.4,,
product conference,3,13,36,11.3,,
Product Conference,26,2.7,73,11.6,,
typing,30,3,28,1,,
Product Descharging,53,17,53,11.4,,
Product Conference,23,3,74,11.6,,
typing,28,2.9,31,0,,
Product Descharging,52,19,55,11.4,,
product conference,2,12,37,11.4,,
Product Conference,25,3,73,11.4,,
typing,28,2.9,27,0,,
Product Descharging,53,19,55,11.6,,
product conference,4,12,35,11.5,,
Product Conference,23,2.7,73,11.3,,
typing,30,2.8,31,0,,
Product Descharging,55,17,53,11.2,,
product conference,2,12,35,11.3,,
Product Conference,26,2.8,73,11.3,,
typing,29,3,31,1,,
Product Descharging,54,19,54,11.3,,
Product Conference,23,2.9,73,11.3,,
typing,31,2.7,30,1,,
Product Descharging,53,18,55,11.2,,
product conference,2,12,36,11.3,,
Product Conference,23,3,74,11.6,,
typing,31,2.7,28,1,,
Product Descharging,53,17,54,11.3,,
product conference,4,11,35,11.4,,
Product Conference,26,2.9,74,11.5,,
typing,29,2.8,31,1,,
Product Descharging,55,19,54,11.3,,
product conference,3,11,36,11.3,,
Product Conference,23,2.9,74,11.5,,
typing,30,3,29,0,,
Product Descharging,54,18,54,11.6,,
Product Conference,24,3,75,11.4,,
typing,31,2.9,28,1,,
Product Descharging,52,17,54,11.4,,
product conference,3,12,34,11.2,,
Product Conference,23,2.8,73,11.5,,
typing,29,2.8,31,0,,
Product Descharging,52,19,53,11.3,,
product conference,2,11,37,11.5,,
Product Conference,24,2.9,73,11.6,,
typing,29,2.8,30,0,,
Product Descharging,52,18,54,11.6,,
product conference,4,11,34,11.4,,
Product Conference,23,2.8,75,11.4,,
typing,29,2.9,27,1,,
Product Descharging,55,17,55,11.4,,
Product Conference,26,2.7,75,11.6,,
typing,29,2.7,31,1,,
Product Descharging,55,18,54,11.3,,
product conference,4,12,34,11.3,,
Product Conference,24,2.7,73,11.4,,
typing,28,2.8,27,1,,
Product Descharging,52,18,53,11.5,,
product conference,3,13,35,11.4,,
Product Conference,24,2.8,74,11.5,,
typing,29,2.7,27,0,,
Product Descharging,53,18,54,11.6,,
product conference,3,11,34,11.2,,
Product Conference,26,2.9,75,11.3,,
typing,31,3,27,1,,
Product Descharging,53,17,55,11.5,,
Product Conference,25,2.9,75,11.5,,
typing,28,2.8,27,1,,
Product Descharging,53,18,55,11.6,,
product conference,2,12,36,11.5,,
Product Conference,26,2.9,73,11.3,,
typing,28,3,30,0,,
Product Descharging,53,19,54,11.3,,
product conference,2,11,35,11.4,,
Product Conference,24,3,74,11.3,,
typing,30,2.7,27,1,,
Product Descharging,55,18,54,11.2,,
product conference,2,11,36,11.3,,
Product Conference,25,3,75,11.3,,
typing,29,2.8,27,1,,
Product Descharging,53,17,55,11.6,,
Product Conference,24,2.8,74,11.2,,
typing,30,3,30,1,,
Product Descharging,54,17,53,11.6,,
product conference,3,11,37,11.3,,
Product Conference,26,2.9,73,11.3,,
typing,28,2.9,29,0,,
